	mmoX	mmoY	mmoZ	mmoB	mmoC	mmoD	pmoA-amoA	pmoB-amoB	pmoC-amoC	mdh1,mxaF	mxaJ	mxaG	mdh2,mxaI	mxaA	mxaC	mxaK	mxaL	mxaD	fdhA	mdo	gfa	frmA,ADH5,adhC	frmB,ESD,fghA	FDH	fdoG,fdhF,fdwA	fdoH,fdsB	fdoI,fdsG	fdsD	fdhB	fdhA	fdhB	cdhA	cdhB	cdhC	cdhE,acsC	cdhD,acsD	cooS,acsA	cooF	glyA,SHMT	AGXT	hprA	gck,gckA,GLYCTK	ENO,eno	ppc	mdh	mtkB	mtkA	mcl	DAK,TKFC	ALDO	fbaB	FBA,fbaA	K01622	K16305	K16306	FBP,fbp	glpX	glpX-SEBP	fbp-SEBP	fbp3	pfkA,PFK	pfkB	pfkC	hxlB	hxlA	fae-hps	hps-phi	dmd-tmd	tmm	torA	torC	torD	torY	torZ	mauA	mauB	qhpA	fwdA,fmdA	fwdB,fmdB	fwdC,fmdC	fwdD,fmdD	fwdH	fwdF,fmdF	fwdG	fwdE,fmdE	ftr	mch	mtd	frhA	frhB	frhD	frhG	mtdB	fae	mer	mtrA	mtrB	mtrC	mtrD	mtrE	mtrF	mtrG	mtrH	mcrA	K00400	mcrB	mcrG	mcrC	mcrD	hdrA2	hdrB2	hdrC2	hdrD	hdrE	mvhD,vhuD,vhcD	mvhA,vhuA,vhcA	mvhG,vhuG,vhcG	ackA	pta	pta	ACSS1_2,acs	porA	porB	porC,porG	vorG,porG	porD	pps,ppsA	PGAM,gpmA	gpmB	gpmI	apgM	serA,PHGDH	serC,PSAT1	serB,PSPH	thrH	mtaA	mtaB	mtaC	mtbA	mttB	mttC	mtmB	mtmC	mtbB	mtbC	comA	comB	comC	comD	comE	fbiC	cofH	cofG	cofC,fbiD	cofD	cofE	cofF	aksA	aksD	aksE	aksF	mfnA,adc	mfnD	mfnB	mfnE	mfnF
PL-C3-L10	0.0	0.0	0.0	0.0	0.0	0.0	6.0	6.0	18.0	227.0	227.0	333.0	227.0	227.0	44.0	227.0	227.0	228.0	5.0	0.0	0.0	678.51	114.0	555.0	56916.15000000001	6384.129999999998	1071.0000000000002	307.0	410.33	22715.13	13.5	2520.5	2520.5	2520.5	19301.38	19201.58	21979.84	11403.03	44230.29999999998	1155.0	1465.88	3795.0	44234.79999999998	2180.21	35647.96999999999	313.0	313.0	477.33	20.65	360.5	7198.51	10050.660000000002	16396.5	5.0	2855.0	4812.009999999999	2140.26	422.0	0.0	409.42	51288.99999999999	22.5	2.0	2957.5	33.0	2520.5	130.5	0.0	0.0	2.5	1561.83	2.5	2.5	2.5	41.0	41.0	0.0	3456.5	3452.0	937.5	2522.0	0.0	1530.5	7.0	12903.12	3456.5	943.5	6.5	0.0	4737.5	306.0	0.0	228.0	942.0	2770.5	89.0	1.5	1.5	1.5	1.5	1.5	1.5	2642.0	1633.5	1635.0	1633.5	1633.5	110.5	110.5	55576.7	29301.09	21355.63	1524.5	1.5	19229.33	14326.0	15717.0	14176.160000000002	3173.53	225.5	46766.93999999999	22178.83	25052.33	25216.33	48.0	18834.33	34303.55999999999	2023.0	57953.19	11943.300000000005	26848.5	60808.73999999999	10321.340000000002	4714.88	2594.33	53.75	3.0	3.0	0.5	4195.66	2516.5	6.0	1.0	3.0	3.0	229.3	3014.4999999999995	0.0	0.0	114.17	307.5	92.5	92.5	553.5	9355.0	12220.0	76.0	108.5	1.5	108.5	108.5	113.5	6.5	708.5	6.5	714.5
PL-C3-L5	0.0	0.0	0.0	0.0	0.0	0.0	26.0	26.0	58.5	2598.0	2604.0	3126.0	2598.0	2598.0	640.0	2598.0	2598.0	2598.0	22.5	0.0	0.0	6012.499999999999	1330.9	5440.0	60556.09	13592.12	4113.95	3391.0	560.0	22909.75	76.0	1047.5	1047.5	1047.5	10792.0	10619.25	14868.010000000002	4430.25	44049.06999999999	5165.83	3831.33	2102.0	44193.47999999999	9143.220000000005	35388.40000000001	2652.0	2652.0	4221.0	69.4	3217.0	7961.699999999998	19121.720000000005	5605.0	60.5	1211.0	5723.699999999999	8465.319999999998	3960.5	0.0	533.5500000000001	52601.58999999999	177.2	7.0	1451.5	70.0	1047.5	129.5	6.0	6.0	2.7	2698.45	2.7	2.7	2.7	621.0	621.0	0.0	4621.33	4609.83	3574.33	1051.0	0.0	508.5	10.0	13972.75	4621.33	3585.08	8.5	0.0	4500.5	529.5	0.0	2652.0	3595.33	1444.42	23.0	3.5	3.5	3.5	3.5	3.5	3.5	1075.0	562.5	566.0	562.5	562.5	64.5	64.5	42697.5	19526.25	10075.25	501.5	3.5	9235.5	4942.5	5311.5	19827.15	3992.33	2466.119999999999	52742.42	12877.0	14854.5	14970.5	394.0	8711.5	28734.840000000004	10027.53	60152.09999999999	15159.900000000003	14992.66	66449.31999999999	18858.070000000003	9145.7	3164.5	54.75	12.0	14.0	7.5	4524.0	1053.5	24.0	11.0	12.0	12.0	300.95	3397.28	0.0	2.0	64.5	3481.92	28.5	29.5	3962.84	12990.42	14278.42	109.66	59.5	3.5	59.5	59.5	66.5	8.5	918.33	8.5	930.33
SB-C1-L1	0.0	0.0	0.0	0.0	0.0	0.0	41.0	41.0	61.5	618.5	625.0	755.5	618.5	618.5	426.5	618.5	618.5	620.5	39.67	0.0	9.5	9204.06	1486.6	2210.0	66307.99	13934.06	3832.3	1561.0	804.34	25761.09	172.0	264.0	264.0	264.0	13456.84	13380.59	21752.52	4904.59	44381.99999999999	6395.34	5266.5	465.0	44195.49999999999	10467.41	41062.16	627.0	627.0	2943.34	248.25	2458.0	11074.31	21571.41	3630.0	7.5	482.0	7626.64	7299.45	2627.0	3.0	1089.93	59291.349999999984	1427.3	0.0	1161.5	5.0	264.0	272.0	62.5	141.5	1.7999999999999998	6521.14	42.8	1.7999999999999998	45.8	406.0	406.0	3.0	4322.67	4047.67	4025.67	264.0	0.0	110.0	7.0	22952.61	4322.67	4065.67	7.0	0.0	7994.0	683.0	0.0	1025.5	4079.17	632.0	39.0	0.0	0.0	0.0	0.0	0.0	0.0	269.0	226.0	226.0	226.0	226.0	123.0	123.0	61551.58	27265.2	12162.52	103.0	0.0	10544.34	3952.0	3748.0	23103.32	4332.18	2127.3	56820.09999999999	14184.27	15127.84	15546.27	703.0	7566.84	42270.92999999999	5890.3	57714.51999999999	24226.82999999999	16123.67	70722.58999999998	27752.729999999992	6900.81	6380.34	16.75	0.0	0.0	0.0	8372.18	257.0	0.0	0.0	0.0	0.0	397.75	5924.84	0.0	46.67	176.67	3121.5	46.0	46.0	3752.67	7600.17	8150.17	19.0	123.0	0.67	123.0	123.0	147.0	7.0	2924.17	7.0	3040.17
SB-C1-L3	0.0	0.0	0.0	0.0	0.0	0.0	49.0	49.0	73.5	456.5	456.5	578.5	456.5	456.5	283.5	456.5	456.5	456.5	11.0	0.0	0.0	6076.91	866.0	1569.0	77179.56	14077.25	2386.0	1000.5	673.0	31162.25	212.0	518.0	518.0	518.0	18500.8	18304.55	29052.35	7316.55	44452.82	4520.5	3762.6	859.0	44326.02	6977.66	40437.01	456.5	456.5	2385.5	96.5	1532.5	12394.66	16854.870000000003	6319.5	8.0	694.0	7286.66	6082.96	1618.5	0.0	1084.36	61608.23	990.8	4.0	1110.0	0.0	518.0	202.0	36.0	78.0	0.0	6829.0	0.0	0.0	4.0	259.0	259.0	0.0	3509.5	3423.5	2997.5	518.0	0.0	293.0	6.0	27635.3	3509.5	2997.5	6.0	0.0	8276.0	625.5	0.0	810.5	3016.0	732.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	522.0	394.0	394.0	394.0	394.0	107.0	107.0	80853.95999999999	34319.96	18130.46	287.0	0.0	15093.0	6569.0	6320.0	19209.86	4177.06	1335.5	56508.42	19603.21	20838.5	21221.21	902.0	12079.5	48908.69	4058.25	57336.43000000001	23646.52	19992.1	68039.47	24431.26	4651.76	6880.5	5.5	0.0	0.0	0.0	8871.0	512.0	0.0	0.0	0.0	0.0	234.25	5022.25	0.0	62.0	175.0	2344.0	11.0	11.0	2753.0	6902.0	7702.0	53.0	107.0	0.0	107.0	107.0	113.0	6.0	2158.0	6.0	2187.0
SB-C1-L5	0.0	0.0	0.0	0.0	0.0	0.0	30.0	30.0	45.0	382.0	382.0	473.0	382.0	382.0	236.0	382.0	382.0	399.0	7.0	0.0	0.0	3696.08	581.9	1007.5	78978.8	13314.45	1572.7	738.0	856.0	31654.25	105.0	1160.0	1160.0	1160.0	21506.5	21395.25	31019.26	9968.88	44519.58	3435.5	2400.5	1607.0	44321.58	4447.599999999999	39724.7	382.0	382.0	1751.5	5.75	1015.5	11952.2	13960.58	10171.5	11.0	1445.0	6927.200000000001	4446.28	1121.5	0.0	768.63	60257.21	639.1999999999999	8.0	1739.0	0.0	1160.0	236.0	47.5	7.0	2.2	5923.7	2.2	2.2	11.200000000000005	221.0	221.0	0.0	3496.0	3454.0	2344.0	1164.0	0.0	722.0	4.0	26934.75	3496.0	2340.0	4.0	0.0	8166.0	701.0	0.0	518.0	2355.0	1338.0	19.0	4.0	4.0	4.0	4.0	4.0	4.0	1172.0	925.0	929.0	925.0	925.0	211.0	211.0	86232.75	37705.75	21757.25	718.0	4.0	18803.5	9965.0	10269.0	16450.08	3605.38	711.1999999999999	54188.95	22988.5	24508.5	24846.5	584.0	16204.5	49079.58	2777.7000000000003	56888.08	21064.08	24074.5	66094.20999999999	20563.95	4164.200000000001	6152.0	19.75	11.0	15.0	12.0	7996.0	1175.0	22.0	16.0	11.0	11.0	165.25	4328.63	0.0	65.5	269.5	1336.5	19.0	19.0	1703.0	6552.5	8041.5	49.0	208.0	4.0	208.0	208.0	208.0	4.0	1819.0	4.0	1822.0
SB-C2-L1	0.0	0.0	0.0	0.0	0.0	0.0	221.0	221.0	331.5	1544.5	1569.5	1950.5	1544.5	1544.5	980.5	1544.5	1544.5	1544.5	217.0	0.0	25.0	18601.85	3551.8	4157.0	57145.93999999999	15484.069999999998	6695.400000000001	3529.5	672.67	20111.17	176.5	75.0	75.0	75.0	8814.17	8765.67	15768.75	2440.79	44175.52	8808.5	7070.0	122.0	43836.02	15506.53	41283.07000000001	1572.5	1572.5	5975.17	547.0	5080.5	10077.229999999998	23882.52	866.0	0.0	93.0	7774.73	10835.920000000002	5857.5	0.0	1004.62	53795.310000000005	2207.9	0.0	1261.0	0.0	75.0	89.0	133.0	230.0	35.89999999999999	5984.070000000001	124.9	35.89999999999999	124.9	914.0	914.0	38.0	4629.5	4371.5	4554.5	75.0	0.0	48.0	0.0	17969.68	4629.5	4554.5	0.0	0.0	8264.0	666.5	0.0	1833.5	4665.0	371.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	75.0	51.0	51.0	51.0	51.0	3.0	3.0	47392.2	19041.51	8018.17	48.0	0.0	6909.17	1679.0	1438.0	23269.52	4738.12	2541.9000000000005	56967.24000000001	9491.17	9971.17	10250.17	606.0	3124.17	37874.69	10840.899999999998	60433.350000000006	23094.02	10234.5	69346.47	31707.9	10768.569999999998	6700.67	5.0	0.0	0.0	0.0	8916.34	75.0	0.0	0.0	0.0	0.0	506.5	4728.12	0.0	69.0	113.0	7395.5	4.0	7.0	6916.0	10588.5	10684.5	18.0	3.0	0.0	3.0	3.0	3.0	0.0	2649.0	0.0	2721.0
SB-C2-L4	0.0	0.0	0.0	0.0	0.0	0.0	136.0	136.0	204.0	1450.0	1462.5	1928.0	1450.0	1450.0	904.0	1450.0	1450.0	1459.0	113.0	2.0	18.1	16387.300000000003	2986.0	3810.6	54840.18000000001	14188.75	6145.75	3472.0	696.0	18636.0	131.75	206.0	206.0	206.0	8922.5	8846.5	14585.4	3211.7	44150.2	8475.04	6226.33	286.0	43909.99999999999	14184.7	41165.09	1482.5	1482.5	5381.6	435.0	4409.1	9967.9	23352.95	2086.5	2.0	282.0	7762.849999999999	9976.21	5441.6	0.0	650.74	53733.44	2036.5	0.0	1600.5	18.5	206.0	93.0	73.1	120.5	45.900000000000006	4919.9	101.4	33.900000000000006	98.9	855.0	855.0	0.0	4558.84	4332.84	4359.84	206.0	0.0	122.0	7.0	15673.0	4558.84	4359.84	7.0	0.0	7227.0	648.0	0.0	1700.0	4420.84	491.0	24.0	0.0	0.0	0.0	0.0	0.0	0.0	207.0	149.0	149.0	149.0	149.0	36.0	36.0	42737.21	18387.21	8061.71	113.0	0.0	7147.0	2654.0	2480.0	23321.9	4505.91	1958.15	55426.53999999999	10325.46	10897.75	11165.46	580.0	4607.75	34947.95	9600.0	61287.73999999999	22303.160000000003	12225.84	69618.70999999999	28860.5	9851.250000000002	5562.0	3.5	2.0	2.0	0.0	7313.1	201.0	0.0	0.0	0.0	0.0	519.5	4940.54	0.0	88.0	155.32999999999998	6194.0	31.0	33.0	6236.0	10010.0	10272.0	46.5	36.0	0.0	36.0	36.0	45.0	7.0	2632.84	7.0	2659.84
SB-C2-L8	0.0	0.0	0.0	0.0	0.0	0.0	30.0	30.0	45.0	365.0	365.0	494.0	365.0	365.0	228.0	365.0	365.0	365.0	29.33	2.0	0.0	2900.0200000000004	458.77	780.0	69932.36000000002	11672.5	1123.9700000000005	696.0	685.0	26376.7	52.5	1478.0	1478.0	1478.0	19853.2	19632.5	26424.660000000003	9815.38	44469.56999999999	2513.5	1252.27	2005.0	44185.56999999999	3455.74	39720.43999999999	365.0	365.0	1179.0	49.83	817.5	10792.47	13119.4	11482.0	0.0	1762.0	6055.639999999999	4046.6	977.0	0.0	231.07	56979.31999999999	220.8	0.0	2099.67	51.67	1478.0	235.0	20.0	21.0	25.47	4192.969999999999	17.470000000000002	13.469999999999995	13.469999999999995	213.0	213.0	4.0	3211.5	3150.5	1724.5	1478.0	0.0	896.0	22.0	21216.7	3211.5	1755.5	22.0	0.0	6570.0	576.0	0.0	405.0	1748.5	1624.33	48.0	0.0	0.0	0.0	0.0	0.0	0.0	1492.0	999.0	999.0	999.0	999.0	125.0	125.0	71842.59999999999	33223.4	19862.2	874.0	0.0	18247.5	11040.0	11395.0	16839.57	3099.15	545.97	52115.13999999999	22221.0	24278.0	24433.0	386.0	16399.0	42131.7	2398.46	55322.58999999999	18211.24	24596.6	62873.94999999998	16308.740000000002	4105.57	4497.0	1.0	0.0	0.0	0.0	6150.0	1456.0	0.0	0.0	0.0	0.0	173.2	3498.41	3.0	1.33	149.32999999999998	1191.33	70.0	70.0	1469.33	7138.33	8914.33	50.0	125.0	0.0	125.0	125.0	147.0	22.0	1307.5	22.0	1350.5
SB-C3-L1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	658.0	658.0	766.0	658.0	660.0	394.0	660.0	660.0	663.0	100.33	15.0	0.0	12122.61	2398.3	2640.5	60242.95	13831.88	4180.65	1616.0	816.0	20937.9	130.5	134.0	134.0	134.0	10708.9	10572.0	17433.3	3347.0	44458.78999999999	8266.33	7484.25	179.0	44232.20999999999	13849.03	41760.42999999999	658.0	658.0	3315.5	444.83	2936.0	10056.23	25539.66	1842.5	9.0	162.0	8967.98	7920.53	3093.0	2.0	832.5	57806.69	2250.9	0.0	817.22	1.72	134.0	37.0	184.0	111.0	100.4	6258.15	99.9	22.4	97.15	392.0	392.0	63.0	4346.5	4201.5	4172.5	134.0	0.0	83.0	0.0	19970.4	4346.5	4218.5	0.0	0.0	8078.5	796.0	0.0	1044.0	4212.5	394.33	10.0	0.0	0.0	0.0	0.0	0.0	0.0	134.0	91.0	91.0	91.0	91.0	8.0	8.0	52221.48	23058.08	8681.68	83.0	0.0	7552.0	2672.0	2277.0	25851.63	4377.75	2295.4	55969.78999999999	11446.53	12540.25	12813.53	425.0	5430.25	38543.82	6660.06	56751.46	25317.38	13634.0	69182.14	30283.28	8731.31	6514.5	0.0	0.0	0.0	0.0	7476.5	134.0	0.0	0.0	0.0	0.0	436.12	5826.95	0.0	102.33	115.33	4639.83	16.0	16.0	4272.83	7611.83	7994.83	25.0	8.0	0.0	8.0	8.0	14.0	0.0	3107.5	0.0	3168.5
SB-C3-L1-B	0.0	0.0	0.0	0.0	0.0	0.0	60.5	60.5	89.5	871.5	883.5	1064.5	871.5	871.5	533.5	871.5	871.5	882.0	99.67	14.0	18.0	14558.88	2364.6000000000004	2751.5	46123.95	10200.48	4551.549999999999	1632.0	304.66	16237.01	311.25	265.0	265.0	265.0	7469.91	7375.809999999999	12465.48	2268.11	43929.850000000006	6772.17	8168.5	368.0	43745.530000000006	14199.44	39379.03	917.5	917.5	3725.16	335.72	3634.0	7220.79	26263.94	1783.5	35.0	329.0	8685.29	10661.73	3235.0	0.0	2066.34	53240.37	2077.2	14.0	616.5	7.5	265.0	163.0	193.5	122.0	53.3	3578.71	70.3	20.3	60.05	546.0	546.0	56.0	3692.0	3420.5	3422.5	272.0	0.0	192.0	10.0	13381.89	3689.5	3442.0	10.0	0.0	5131.0	347.0	0.0	1313.0	3463.0	493.67	25.0	7.0	7.0	7.0	7.0	7.0	7.0	268.0	201.0	208.0	201.0	201.0	30.0	30.0	33627.509999999995	16490.54	6997.12	178.0	7.0	5379.66	2108.0	1960.0	25012.43	4540.16	2168.8	51227.78	8209.52	8901.66	9312.52	402.0	4137.66	32456.410000000003	8463.39	56149.3	23257.61	11287.5	62809.25	28346.120000000003	8473.210000000001	4234.66	21.5	21.0	25.0	21.0	5668.82	290.0	28.0	21.0	14.0	14.0	561.6	4818.07	2.0	57.17	96.5	6722.67	33.0	26.0	6219.67	10334.67	10719.67	85.0	30.0	7.0	30.0	30.0	39.0	10.0	2043.0	10.0	2131.0
SB-C3-L10	0.0	0.0	0.0	0.0	0.0	0.0	11.0	11.0	16.5	472.5	472.5	621.5	472.5	472.5	214.5	472.5	472.5	472.5	27.0	0.0	0.0	3315.0199999999995	1308.6000000000004	1190.0	54940.79000000001	7796.569999999999	1816.55	597.5	324.67	20274.02	36.0	2806.0	2806.0	2806.0	17241.52	17083.17	19508.56	8880.1	44908.60999999999	2669.0	3085.75	3066.0	44119.85999999999	3398.07	37309.06	489.5	489.5	1397.67	52.0	1066.5	7929.47	14222.840000000004	13355.5	1.0	3257.0	5443.72	4444.399999999999	1281.5	0.0	1400.9499999999998	51709.85	209.79999999999995	2.0	3386.0	16.0	2804.0	286.0	0.0	2.0	658.3	2310.22	630.3	385.3	385.55	209.0	209.0	0.0	4407.0	4355.0	1606.0	2807.0	0.0	2013.0	29.0	13296.53	4407.0	1636.0	29.0	0.0	4986.0	191.0	0.0	536.5	1607.5	2996.5	57.0	1.0	1.0	1.0	1.0	1.0	1.0	2884.0	2140.0	2141.0	2140.0	2140.0	157.0	157.0	52878.9	28413.11	18684.17	1984.0	1.0	17281.67	11633.0	13487.0	18333.27	3915.12	816.8000000000002	47495.16999999999	19648.57	22213.42	22419.57	258.0	16396.42	33453.2	2569.2999999999997	52366.87999999999	15142.860000000004	24490.5	59971.42999999999	13300.890000000005	6334.719999999999	1876.67	30.5	2.0	3.0	3.0	4232.34	2779.0	4.0	4.0	2.0	2.0	136.85	3215.07	0.0	5.0	193.0	1041.5	91.0	91.0	1389.0	7856.0	11061.0	112.5	157.0	1.5	157.5	157.0	193.0	29.0	1062.5	29.0	1093.5
SB-C3-L5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	458.0	458.0	545.0	458.0	458.0	217.0	458.0	458.0	461.0	27.67	2.0	0.0	3809.84	540.4	1046.0	59475.32000000001	9442.4	1417.1999999999998	649.0	447.33	23572.28	156.0	1843.0	1843.0	1843.0	15934.03	15740.08	20885.9	6860.79	44207.66999999999	3195.67	2970.79	2127.0	44037.919999999984	4499.52	38114.15	462.0	462.0	1416.33	60.17	1130.0	9005.37	16279.510000000004	9034.0	7.5	2094.0	6054.870000000001	5354.7	1023.0	1.0	1374.56	55482.40999999999	495.2000000000001	21.0	2247.0	4.0	1843.0	177.0	50.0	29.0	10.2	3409.03	10.2	10.2	13.7	226.0	226.0	20.0	4234.5	4169.5	2359.5	1850.0	1.0	1146.0	17.0	17942.02	4235.5	2406.5	15.0	1.0	6081.0	370.0	1.0	533.0	2393.5	2012.92	30.0	8.0	8.0	8.0	8.0	8.0	8.0	1890.0	1245.0	1253.0	1245.0	1245.0	120.0	120.0	57733.08	27954.57	15977.21	1132.0	7.0	14466.33	8532.0	9269.0	19540.750000000004	4240.81	884.4500000000002	50215.76999999998	18007.260000000002	20095.83	20270.26	406.0	13126.83	36184.62	3098.13	53259.76	18111.330000000005	21742.17	62731.49999999999	17403.040000000005	4870.8200000000015	3674.33	32.0	14.0	19.0	11.0	5552.66	1844.0	28.0	18.0	14.0	14.0	166.95	4454.58	6.0	33.67	154.67000000000002	1745.42	35.0	33.0	1990.67	7897.42	10101.42	74.34	120.0	8.5	120.5	120.0	130.0	15.0	1818.5	15.0	1873.5
