	K00169: porA	K00170: porB	K00171: porD	K00172: porC, porG	K03737: por, nifJ	K01007: pps, ppsA	K01006: ppdK	K01595: ppc	K01959: pycA	K01960: pycB	K01958: PC, pyc	K00024: mdh	K01676: E4.2.1.2A, fumA, fumB	K01679: E4.2.1.2B, fumC, FH	K01677: E4.2.1.2AA, fumA	K01678: E4.2.1.2AB, fumB	K00239: sdhA, frdA	K00240: sdhB, frdB	K00241: sdhC, frdC	K00242: sdhD, frdD	K00244: frdA	K00245: frdB	K00246: frdC	K00247: frdD	K01902: sucD	K01903: sucC	K00174: korA, oorA, oforA	K00175: korB, oorB, oforB	K00177: korC, oorC	K00176: korD, oorD	K00031: IDH1, IDH2, icd	K01681: ACO, acnA	K01682: acnB	K15230: aclA	K15231: aclB	K15232: ccsA
PL-C2-L4	11744.12	12457.12	7876.12	12713.12	13014.99	32512.17	42241.75000000001	4855.26	131.0	10176.0	3304.29	36987.53	7849.059999999999	25083.730000000003	9401.55	9401.55	37671.94	35801.94	29171.91	2556.7	298.2	295.2	295.2	118.2	39492.28	39486.28	62373.72000000001	56602.22	25060.9	24064.4	26509.35	39843.68	1172.2	1.0	1.0	117.0
PL-C2-L8	7601.389999999999	8171.25	3131.25	8254.39	9954.000000000002	21726.19	41057.77	13233.07	625.25	5190.75	4809.799999999999	38060.88	10452.95	34590.17999999999	3108.42	3108.42	44076.09999999999	43314.70999999999	35927.05	10193.1	548.1	1150.6	1157.6	338.6	42619.63	42593.13	44944.31	42277.81	12974.820000000002	13134.320000000002	31279.509999999995	42854.73	1750.35	50.5	50.5	1264.0
PL-C3-L1	6512.43	6915.5	2550.5	7088.43	11298.51	27693.49	37324.75	14774.76	1123.5	7692.5	5775.32	37705.5	13445.16	36433.5	2348.48	2348.48	42491.92999999999	42076.0	38333.83	13976.83	534.33	1167.83	1162.33	150.83	41832.0	41816.0	43817.77	40031.27	15649.93	15960.43	34727.8	42603.21	4127.83	135.5	135.5	455.0
PL-C3-L10	22178.83	25052.33	18834.33	25216.33	11174.120000000004	34303.55999999999	34734.8	2180.21	86.0	18023.16	2313.29	35647.96999999999	3710.84	18034.67	17712.760000000002	17712.760000000002	36364.30999999999	27777.980000000003	23817.320000000007	1433.5	424.56	170.32999999999998	163.82999999999998	3.5000000000000004	42751.01999999998	42749.01999999998	64356.02	59517.19	22958.36	23311.48	18082.67	28474.360000000008	2676.9999999999995	9.5	9.5	10.0
PL-C3-L5	12877.0	14854.5	8711.5	14970.5	12640.330000000002	28734.840000000004	42789.27999999999	9143.220000000005	326.0	11676.5	3291.88	35388.40000000001	7842.269999999999	29382.370000000006	7108.800000000001	7108.800000000001	39224.490000000005	36868.82000000001	32604.40000000001	7694.199999999999	470.0299999999999	637.1999999999999	578.6999999999998	23.7	42174.9	42170.9	62145.42	57358.42	25037.01	25398.51	27418.32000000001	39089.90000000001	1960.2000000000005	66.0	66.0	134.0
SB-C1-L1	14184.27	15127.84	7566.84	15546.27	16727.82	42270.92999999999	42509.03999999999	10467.41	2018.5	18947.68	7179.4400000000005	41062.16	16228.78	33579.81999999999	4793.18	4793.18	43005.33	40925.9	36720.57	8827.970000000001	194.98	588.14	580.64	29.8	43209.06999999999	43206.06999999999	63210.88	54507.04	27641.11	27969.61	36142.07	41164.95999999999	2668.3	14.5	14.5	48.0
SB-C1-L3	19603.21	20838.5	12079.5	21221.21	17032.61	48908.69	45645.27	6977.66	1152.0	22312.1	5576.01	40437.01	14554.51	28526.91	8493.51	8493.51	40446.130000000005	36632.92	32926.92	5397.5	66.0	351.0	343.0	17.0	42952.66	42952.66	72210.16	60963.66	32725.91	33322.91	33039.76	38873.97	2196.0	8.0	8.0	34.0
SB-C1-L5	22988.5	24508.5	16204.5	24846.5	14955.21	49079.58	43274.380000000005	4447.599999999999	680.0	23502.0	4839.13	39724.7	11768.9	24631.7	12107.88	12107.88	38609.45	32704.45	29220.45	3421.7000000000003	52.2	230.2	223.2	19.2	42857.45	42857.45	73590.38	62814.380000000005	32804.5	33456.5	28158.95	34954.03	1940.2	7.0	7.0	19.0
SB-C2-L1	9491.17	9971.17	3124.17	10250.17	13592.31	37874.69	40424.78999999999	15506.53	2153.5	14072.84	7731.29	41283.07000000001	17541.300000000003	37645.4	1895.12	1895.12	43999.23000000001	43567.73000000001	38764.56000000001	14625.399999999998	502.74	1004.0699999999998	1004.0699999999998	220.90000000000003	43006.90000000001	43006.90000000001	50437.8	43266.13	20903.34	21154.34	38045.9	43254.75	3759.900000000001	57.5	57.5	85.0
SB-C2-L4	10325.46	10897.75	4607.75	11165.46	12763.51	34947.95	39683.35	14184.7	2170.25	13663.25	6988.849999999999	41165.09	15648.3	35132.09	3283.91	3283.91	43472.54999999999	42436.09	37537.59	13132.000000000002	490.15	924.15	924.15	200.9	42973.09	42968.09	50277.5	44330.0	19655.46	19881.96	36642.69	42280.44	3188.25	30.25	30.25	114.0
SB-C2-L8	22221.0	24278.0	16399.0	24433.0	13465.910000000002	42131.7	40956.59999999999	3455.74	279.0	20359.1	4115.13	39720.43999999999	8352.369999999999	21895.64	13155.830000000002	13155.830000000002	38464.44	31716.939999999995	27223.61	2473.3	97.47	326.9699999999999	326.9699999999999	46.47	43356.84	43350.84	69462.41	61260.41	28522.2	29105.2	26357.74	33828.21	1925.47	5.5	5.5	34.0
SB-C3-L1	11446.53	12540.25	5430.25	12813.53	15618.43	38543.82	40081.01	13849.03	2796.75	16200.25	7799.83	41760.42999999999	17623.71	35501.53	2918.6800000000003	2918.6800000000003	44467.37	43478.34	38792.51	12305.73	328.4	637.9000000000001	625.4000000000001	85.4	43297.42999999999	43296.42999999999	56377.06	49340.06	24232.23	24717.23	39075.53	42839.16	4067.15	22.0	22.0	55.0
SB-C3-L1-B	8209.52	8901.66	4137.66	9312.52	14545.370000000004	32456.410000000003	36064.97	14199.44	2264.5	11996.32	6094.089999999999	39379.03	14428.67	33984.37	4188.360000000001	4188.360000000001	41701.67	40471.31	35309.3	12689.47	360.87	836.21	812.21	100.3	41270.97000000001	41262.97000000001	46555.42	41616.76	16869.18	17113.18	35180.12	41905.41	4463.799999999999	35.75	35.75	73.0
SB-C3-L10	19648.57	22213.42	16396.42	22419.57	13702.410000000002	33453.2	35574.48	3398.07	250.75	15877.09	3740.12	37309.06	5937.189999999999	19563.890000000003	15660.47	15660.47	35387.71999999999	28868.32	24166.99	2645.2999999999997	838.6400000000001	858.9700000000001	863.9700000000001	649.3	41474.23999999999	41468.73999999999	60042.380000000005	55360.5	21092.61	21521.61	21488.31	31664.680000000008	2992.0499999999997	5.5	5.5	44.0
SB-C3-L5	18007.260000000002	20095.83	13126.83	20270.26	15581.290000000005	36184.62	40295.71	4499.52	623.5	16519.16	4885.18	38114.15	8976.819999999998	23748.119999999995	11656.63	11656.63	37655.09	33096.16	27756.91	3036.8699999999994	102.63	356.0300000000001	350.5300000000001	27.200000000000003	41625.18999999999	41618.68999999999	64012.34	57512.01	24785.88	25465.26	26862.699999999997	35894.689999999995	2156.7	5.5	5.5	23.0
