	K00169: porA	K00170: porB	K00171: porD	K00172: porC, porG	K01007: pps, ppsA	K01595: ppc	K00024: mdh	K01677: E4.2.1.2AA, fumA	K01678: E4.2.1.2AB, fumB	K00239: sdhA, frdA	K00240: sdhB, frdB	K00241: sdhC, frdC	K01902: sucD	K01903: sucC	K14534: abfD	K15016: K15016	K00626: ACAT, atoB
PL-C2-L8	7601.389999999999	8171.25	3131.25	8254.39	21726.19	13233.07	38060.88	3108.42	3108.42	44076.09999999999	43314.70999999999	35927.05	42619.63	42593.13	2311.5	2933.0	112871.96
PL-C3-L1	6512.43	6915.5	2550.5	7088.43	27693.49	14774.76	37705.5	2348.48	2348.48	42491.92999999999	42076.0	38333.83	41832.0	41816.0	3288.0	2680.0	116344.9
PL-C3-L10	22178.83	25052.33	18834.33	25216.33	34303.55999999999	2180.21	35647.96999999999	17712.760000000002	17712.760000000002	36364.30999999999	27777.980000000003	23817.320000000007	42751.01999999998	42749.01999999998	9348.0	1524.0	108537.37
PL-C3-L5	12877.0	14854.5	8711.5	14970.5	28734.840000000004	9143.220000000005	35388.40000000001	7108.800000000001	7108.800000000001	39224.490000000005	36868.82000000001	32604.40000000001	42174.9	42170.9	9934.5	2372.0	115545.23999999996
SB-C1-L1	14184.27	15127.84	7566.84	15546.27	42270.92999999999	10467.41	41062.16	4793.18	4793.18	43005.33	40925.9	36720.57	43209.06999999999	43206.06999999999	10996.0	4859.0	127483.88
SB-C1-L3	19603.21	20838.5	12079.5	21221.21	48908.69	6977.66	40437.01	8493.51	8493.51	40446.130000000005	36632.92	32926.92	42952.66	42952.66	14415.8	5350.0	139308.5
SB-C1-L5	22988.5	24508.5	16204.5	24846.5	49079.58	4447.599999999999	39724.7	12107.88	12107.88	38609.45	32704.45	29220.45	42857.45	42857.45	16271.0	5069.0	137024.21000000002
SB-C2-L1	9491.17	9971.17	3124.17	10250.17	37874.69	15506.53	41283.07000000001	1895.12	1895.12	43999.23000000001	43567.73000000001	38764.56000000001	43006.90000000001	43006.90000000001	6247.0	4694.0	136816.14
SB-C2-L4	10325.46	10897.75	4607.75	11165.46	34947.95	14184.7	41165.09	3283.91	3283.91	43472.54999999999	42436.09	37537.59	42973.09	42968.09	7381.0	3734.0	129797.75
SB-C2-L8	22221.0	24278.0	16399.0	24433.0	42131.7	3455.74	39720.43999999999	13155.830000000002	13155.830000000002	38464.44	31716.939999999995	27223.61	43356.84	43350.84	14963.0	3731.0	125795.70999999998
