	K00200: fwdA, fmdA	K00201: fwdB, fmdB	K00202: fwdC, fmdC	K00203: fwdD, fmdD	K11261: fwdE, fmdE	K00205: fwdF, fmdF	K11260: fwdG	K00204: fwdH	K00672: ftr	K01499: mch	K00319: mtd	K00320: mer	K00577: mtrA	K00578: mtrB	K00579: mtrC	K00580: mtrD	K00581: mtrE	K00582: mtrF	K00583: mtrG	K00584: mtrH	K00399: mcrA	K00401: mcrB	K00402: mcrG	K03388: hdrA2	K03389: hdrB2	K03390: hdrC2	K08264: hdrD	K08265: hdrE	K14127: mvhD, vhuD, vhcD	K14126: mvhA, vhuA, vhcA	K14128: mvhG, vhuG, vhcG	K00125: fdhB
KS-C4-L5	971.0	969.5	872.5	100.0	13091.5	44.0	3.0	0.0	969.5	874.0	3.0	535.6700000000001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	41.0	41.0	41.0	27389.0	13369.0	5247.0	41.0	0.0	4301.0	2750.0	1532.0	213.0
KS-C5-L1	715.3299999999999	702.8299999999999	682.8299999999999	20.0	5730.42	32.0	0.0	0.0	702.8299999999999	693.3299999999999	0.0	182.25	2.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	20.0	20.0	20.0	13117.86	8634.86	2958.36	20.0	0.0	1819.0	1542.0	528.0	45.0
KS-C5-L5	1325.5	1358.0	1181.0	250.0	13360.18	152.0	45.0	0.0	1324.0	1131.5	34.0	521.0	79.0	45.0	45.0	45.0	45.0	34.0	33.0	272.0	140.0	140.0	140.0	29505.2	15702.01	8911.67	140.0	44.0	7058.67	5317.0	4150.0	113.67
KS-C5-L8	1917.66	1917.99	1820.66	97.99	10498.84	58.66	0.66	0.0	1917.33	1820.33	0.33	153.32999999999998	17.990000000000002	0.33	0.33	0.33	0.33	0.33	0.33	97.66	66.33	66.33	66.33	36668.86	19394.49	15375.33	58.33	0.33	10196.67	8455.5	8223.5	50.67
MB-C1-L1	4785.0	4278.0	4355.0	318.0	16680.989999999998	159.0	9.0	0.0	4785.0	4503.12	9.0	678.0	35.0	7.0	7.0	7.0	7.0	7.0	7.0	340.0	207.0	207.0	207.0	41315.47	17520.239999999998	8016.28	150.0	7.0	6392.33	2244.0	2217.0	420.33
MB-C2-L1	5254.0	5192.5	2225.0	3019.0	15461.15	2104.5	24.0	0.0	5254.0	2274.0	22.5	3325.5	127.0	6.5	6.5	6.5	6.5	6.5	6.5	3221.0	2327.5	2327.5	2327.5	58315.16	29366.76	18198.36	2083.5	6.5	16983.0	9987.0	12554.0	451.0
MB-C2-L1-B	4406.34	3694.01	4301.34	45.01	11299.45	25.34	14.34	0.0	4397.67	4374.67	13.67	290.67	13.34	0.67	0.67	0.67	0.67	0.67	0.67	44.34	33.67	33.67	33.67	22981.620000000003	10381.74	4547.56	11.0	0.67	3169.34	1383.0	1260.0	310.34000000000003
MB-C3-L1	5153.33	4321.83	5010.33	60.0	12531.6	29.5	7.5	0.0	5153.33	5110.33	7.5	303.0	19.0	3.5	3.5	3.5	3.5	3.5	3.5	61.0	34.5	34.5	34.5	26639.13	11647.44	4978.6	25.5	3.5	3670.67	1451.0	1277.0	313.67
PL-C1-L1	4330.5	4064.5	4258.5	75.0	10944.15	32.0	2.0	0.0	4327.5	4257.5	2.0	720.25	6.0	2.0	2.0	2.0	2.0	2.0	2.0	73.0	36.0	36.0	36.0	29769.49	11144.09	5465.19	30.0	2.0	4338.0	1374.0	1153.0	462.0
PL-C1-L4	3832.33	3768.33	3387.33	451.0	14839.12	207.0	10.0	0.0	3832.33	3397.08	10.0	905.33	14.0	0.0	0.0	0.0	0.0	0.0	0.0	458.0	238.0	238.0	238.0	44151.06	19253.2	10413.24	197.0	0.0	8922.33	4220.0	4231.0	319.33
PL-C1-L7	2373.67	2364.67	535.6700000000001	1849.0	16442.27	987.0	5.0	0.0	2373.67	545.96	5.0	2049.0	89.0	3.0	3.0	3.0	3.0	3.0	3.0	1959.0	1119.0	1119.0	1119.0	68121.31999999999	38491.3	29804.9	982.0	3.0	24755.0	20029.0	20805.0	305.0
PL-C2-L1	5535.49	4872.49	5511.49	13.0	3425.3	0.0	0.0	0.0	5535.49	5522.49	0.0	268.33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	10.0	10.0	10.0	7242.9	3983.1	1666.8	0.0	0.0	875.0	375.0	130.0	67.0
